split,model,total_return_pct,cagr_pct,max_dd_pct,sharpe,sortino,calmar_pct,expectancy_r,profit_factor,avg_hold_bars,trade_count,verdict
TRAIN,Equal-weight BH,43.09039096716353,12.719917607151277,35.46326525517559,0.5786433481898714,0.8003675097408183,0.3586786923207784,,,,,-
TRAIN,Selection-BH,0.7166064843682398,0.23890078803692205,21.577823914416115,0.08749516223738345,0.12463488568784889,0.011071588543148355,,,,102.0,-
TRAIN,Constrained BH,13.38003084727346,4.285660265671831,35.21232584654941,0.29400006671617546,0.42636696977545224,0.12170909369486592,,,,,-
TRAIN,fixed_sl_tp,34.06460937157038,10.29220608120307,11.316013274663236,1.0467379623996795,1.5012015061332444,0.9095258048386625,0.43895659848019797,1.7655685591014394,45.47435897435897,78.0,-
TRAIN,atr_sl_tp,3.312899065131962,1.0950878095696615,6.16677494118074,0.29486604083467716,0.4145351044125121,0.17757868902541582,0.04756845157769246,1.117843299727822,8.272727272727273,99.0,-
TRAIN,trailing_stop,5.350403074884569,1.7570211373052036,8.001575596596739,0.32118664370937305,0.45293457411031124,0.21958439510994643,0.059394786231864394,1.1911083507718545,15.216494845360824,97.0,-
TRAIN,structure_break,25.067079562284285,7.761213635109843,10.68700771328048,0.6911039885192127,0.971992518742607,0.7262288793396466,0.46701992494552874,1.936171224316885,58.61538461538461,65.0,-
TRAIN,partial_tp_trailing,15.34871795708318,4.887306342395292,8.468367355727706,0.6865644722644603,0.9578382720456202,0.5771249801875553,0.49196205473257865,1.3973888894256727,28.257142857142856,90.0,-
TRAIN,time_exit,22.983899121565905,7.1580426994787505,10.21427914540477,0.8058248709393308,1.1850904358399756,0.7007878478334941,0.27676548172079496,1.6395129629362268,28.626506024096386,83.0,-
TRAIN,no_exit_capped,16.86723147816745,5.346721363096152,32.25289170821667,0.34579984509347844,0.5029774640176182,0.16577494543641286,3.2281565534956993,2.2290815482774455,774.625,8.0,CONTROL
OOS,Equal-weight BH,209.96080811384655,36.15004108374418,25.392891319844118,1.4559603190948442,2.1600171016652725,1.4236283938053769,,,,,-
OOS,Selection-BH,34.73023766454624,8.471400984962196,9.748057889395486,0.9152007994853644,1.3598452749724546,0.869034743236177,,,,182.0,-
OOS,Constrained BH,41.19008008430662,9.866000431517218,15.612563357145326,0.7393774405571095,1.0865580433756328,0.6319270068487436,,,,,-
OOS,fixed_sl_tp,34.84400504586121,8.496378215536238,11.920469900219588,0.8376588096149297,1.1808251405044954,0.7127553097029946,0.2640496728901994,1.4858099297839604,44.459016393442624,122.0,INCONCLUSIVE (baseline low sample)
OOS,atr_sl_tp,20.016396469978893,5.102997701816903,6.32492538853382,1.0107658702766373,1.7060393197712092,0.8068075729506475,0.1309416892238276,1.4571421979380512,7.982558139534884,172.0,INCONCLUSIVE (baseline low sample)
OOS,trailing_stop,45.50686811636307,10.77227236694467,8.325935185071117,1.33463312505293,2.230293244929083,1.293821309858378,0.27587860460217645,1.8995363726172654,15.61006289308176,159.0,INCONCLUSIVE (baseline low sample)
OOS,structure_break,35.15992504990034,8.565657077112077,15.583641197403816,0.6691439067656713,0.9441015384904247,0.5496569748114508,0.9366683666324424,1.6230548259346962,64.05050505050505,99.0,INCONCLUSIVE (baseline low sample)
OOS,partial_tp_trailing,45.51296509915276,10.773538459839926,11.902371455985632,1.2467370007509804,1.9418727458596252,0.9051589844662408,0.6144139044258173,1.6587221374594876,24.654166666666665,152.0,INCONCLUSIVE (baseline low sample)
OOS,time_exit,60.97952981605273,13.868218345814952,13.126066049537648,1.2965907193187016,1.9874353313491282,1.0565403444928914,0.3927297586057045,2.035391902955268,28.35820895522388,134.0,INCONCLUSIVE (baseline low sample)
OOS,no_exit_capped,70.3522238644989,15.639614918564071,15.210030624321469,1.0435417030833731,1.5825716049153795,1.0282434864763308,11.40743804142358,50.44547158898675,1007.3333333333334,6.0,CONTROL
